"","benchmark","dataset","algorithm","FM","AR"
"1","fcps","atom","hclust_complete",0.646803265047809,0.0835311928893039
"2","fcps","atom","hclust_average",0.646283698604904,0.0986262181864304
"3","fcps","atom","hclust_mcquitty",0.661122491393442,0.213206019358984
"4","fcps","atom","hclust_median",0.702300468841295,0.000125160337236546
"5","fcps","atom","hclust_centroid",0.687026326820542,0.00345482120298864
"6","fcps","atom","genie",1,1
"7","fcps","atom","spectral",1,1
"8","fcps","chainlink","hclust_complete",0.689217432357566,0.313045485364763
"9","fcps","chainlink","hclust_average",0.676528827347987,0.271921713666508
"10","fcps","chainlink","hclust_mcquitty",0.720648984431863,0.401437099290508
"11","fcps","chainlink","hclust_median",0.681588485034806,0.288884107635801
"12","fcps","chainlink","hclust_centroid",0.65914929748095,0.203746306782653
"13","fcps","chainlink","genie",1,1
"14","fcps","chainlink","spectral",1,1
"15","fcps","engytime","hclust_complete",0.654373719072402,0.040580394647764
"16","fcps","engytime","hclust_average",0.650023910224952,0.0510138263427429
"17","fcps","engytime","hclust_mcquitty",0.658931402634767,0.031860269191981
"18","fcps","engytime","hclust_median",0.654030498456152,0.0231286854183281
"19","fcps","engytime","hclust_centroid",0.701933824478517,0.000207476290326673
"20","fcps","engytime","genie",0.906475361890197,0.812417278543569
"21","fcps","engytime","spectral",0.951417781699989,0.902847413003663
"22","fcps","hepta","hclust_complete",1,1
"23","fcps","hepta","hclust_average",1,1
"24","fcps","hepta","hclust_mcquitty",1,1
"25","fcps","hepta","hclust_median",1,1
"26","fcps","hepta","hclust_centroid",1,1
"27","fcps","hepta","genie",1,1
"28","fcps","hepta","spectral",0.828316023214032,0.787806930088559
"29","fcps","lsun","hclust_complete",0.627204268665855,0.404612960951958
"30","fcps","lsun","hclust_average",0.604377051598883,0.361088530751963
"31","fcps","lsun","hclust_mcquitty",0.574204227054148,0.306506365287466
"32","fcps","lsun","hclust_median",0.669457304713046,0.471261113503063
"33","fcps","lsun","hclust_centroid",0.83302262100229,0.71078799809729
"34","fcps","lsun","genie",1,1
"35","fcps","lsun","spectral",0.708108764681289,0.542865778829255
"36","fcps","target","hclust_complete",0.662843178900121,0.206684299672276
"37","fcps","target","hclust_average",0.6576649848155,0.145592188215709
"38","fcps","target","hclust_mcquitty",0.684072231228392,0.2994010586115
"39","fcps","target","hclust_median",0.67240857821223,0.254884980283969
"40","fcps","target","hclust_centroid",0.667163037895181,0.0896137405917904
"41","fcps","target","genie",0.649353848942389,0.429111481622092
"42","fcps","target","spectral",0.618507055010945,0.389507962265497
"43","fcps","tetra","hclust_complete",0.99000101504848,0.986700900040098
"44","fcps","tetra","hclust_average",0.994974874689086,0.993316527220373
"45","fcps","tetra","hclust_mcquitty",1,1
"46","fcps","tetra","hclust_median",0.785934105174138,0.671340691289061
"47","fcps","tetra","hclust_centroid",0.97539451589619,0.967267633008765
"48","fcps","tetra","genie",1,1
"49","fcps","tetra","spectral",0.799587265813454,0.715431933672105
"50","fcps","twodiamonds","hclust_complete",0.992509610085949,0.985037524550926
"51","fcps","twodiamonds","hclust_average",0.997496875014685,0.99499999220708
"52","fcps","twodiamonds","hclust_mcquitty",0.997496875014685,0.99499999220708
"53","fcps","twodiamonds","hclust_median",0.827015956661999,0.647600720529576
"54","fcps","twodiamonds","hclust_centroid",0.997496875014685,0.99499999220708
"55","fcps","twodiamonds","genie",0.987547970762765,0.975125122351754
"56","fcps","twodiamonds","spectral",0.997496875014685,0.99499999220708
"57","fcps","wingnut","hclust_complete",0.747542641523954,0.468807511870273
"58","fcps","wingnut","hclust_average",1,1
"59","fcps","wingnut","hclust_mcquitty",1,1
"60","fcps","wingnut","hclust_median",1,1
"61","fcps","wingnut","hclust_centroid",1,1
"62","fcps","wingnut","genie",1,1
"63","fcps","wingnut","spectral",0.549283947477351,-0.000774687968497141
"64","graves","dense","hclust_complete",0.670660298135,0.257263792744253
"65","graves","dense","hclust_average",0.960436324377729,0.921204677133922
"66","graves","dense","hclust_mcquitty",0.682522435032759,0.00422397315966757
"67","graves","dense","hclust_median",0.960436324377729,0.921204677133922
"68","graves","dense","hclust_centroid",0.960436324377729,0.921204677133922
"69","graves","dense","genie",0.980004059577927,0.960200080403878
"70","graves","dense","spectral",0.98995000378756,0.979999505050755
"71","graves","fuzzyx","hclust_complete",0.72976240480163,0.653715362084362
"72","graves","fuzzyx","hclust_average",0.795479442745686,0.742600227432063
"73","graves","fuzzyx","hclust_mcquitty",0.701086001343149,0.614908373851101
"74","graves","fuzzyx","hclust_median",0.662771015015507,0.565879545976443
"75","graves","fuzzyx","hclust_centroid",0.49623643731643,0.269604177835202
"76","graves","fuzzyx","genie",0.523631442554887,0.340145739043006
"77","graves","fuzzyx","spectral",0.551433196629762,0.358463126141351
"78","graves","line","hclust_complete",0.605542492476445,-0.0709960601813904
"79","graves","line","hclust_average",0.603488734440495,-0.066108799452802
"80","graves","line","hclust_mcquitty",0.597179550619629,-0.0167037861915367
"81","graves","line","hclust_median",0.609127041887237,-0.077783803009895
"82","graves","line","hclust_centroid",0.603488734440495,-0.066108799452802
"83","graves","line","genie",1,1
"84","graves","line","spectral",0.733976280883519,0.340072403724799
"85","graves","parabolic","hclust_complete",0.795920262760761,0.589417226013762
"86","graves","parabolic","hclust_average",0.799375037251753,0.598675008563865
"87","graves","parabolic","hclust_mcquitty",0.80268952779997,0.601783299497684
"88","graves","parabolic","hclust_median",0.844685828736362,0.688589917433366
"89","graves","parabolic","hclust_centroid",0.7580184246494,0.509315511139113
"90","graves","parabolic","genie",0.90704698391206,0.813418507363336
"91","graves","parabolic","spectral",0.79114520193293,0.577184931208
"92","graves","ring","hclust_complete",0.660340181409957,0.209204953022225
"93","graves","ring","hclust_average",0.646693452815137,0.113745642940336
"94","graves","ring","hclust_mcquitty",0.6511095270734,0.159461516887696
"95","graves","ring","hclust_median",0.65542318376758,0.0396539293439076
"96","graves","ring","hclust_centroid",0.660419979034961,0.0285974941746124
"97","graves","ring","genie",1,1
"98","graves","ring","spectral",0.64642192462942,0.101916707128881
"99","graves","zigzag","hclust_complete",0.50422550543194,0.130128486486657
"100","graves","zigzag","hclust_average",0.508596475874516,0.129193352351804
"101","graves","zigzag","hclust_mcquitty",0.496963161088058,0.132361508171249
"102","graves","zigzag","hclust_median",0.491055413489222,0.142996944339039
"103","graves","zigzag","hclust_centroid",0.528010075348374,0.182460284738622
"104","graves","zigzag","genie",1,1
"105","graves","zigzag","spectral",0.598034350590726,0.318100519189933
"106","other","iris5","hclust_complete",0.66514537343186,0.337008100464938
"107","other","iris5","hclust_average",0.765221672492173,0.557788863596003
"108","other","iris5","hclust_mcquitty",0.752906888806957,0.532204414877533
"109","other","iris5","hclust_median",0.749873224133996,0.53125189377871
"110","other","iris5","hclust_centroid",0.690548271060658,0.148461400035991
"111","other","iris5","genie",0.763541981596539,0.593773465026281
"112","other","iris5","spectral",0.803324138996261,0.652128713276524
"113","other","iris","hclust_complete",0.768637102851382,0.64225125183629
"114","other","iris","hclust_average",0.840728915757482,0.759198707107152
"115","other","iris","hclust_mcquitty",0.832050294337844,0.745503868180448
"116","other","iris","hclust_median",0.830639419543784,0.744526430873875
"117","other","iris","hclust_centroid",0.763517068100088,0.563751020523071
"118","other","iris","genie",0.923434163272061,0.885792100198963
"119","other","iris","spectral",0.794607467035351,0.684405612920307
"120","other","square","hclust_complete",0.652341946693618,0.167556787056539
"121","other","square","hclust_average",0.650023905541056,0.151566735488702
"122","other","square","hclust_mcquitty",0.662888166422337,0.220338784404269
"123","other","square","hclust_median",0.662448055511814,0.218463095892533
"124","other","square","hclust_centroid",0.655252246033629,0.184348802679368
"125","other","square","genie",1,1
"126","other","square","spectral",0.662313408367166,0.0253127648428126
"127","sipu","a1","hclust_complete",0.920414969018866,0.916228429500943
"128","sipu","a1","hclust_average",0.928824848410088,0.925094310320662
"129","sipu","a1","hclust_mcquitty",0.815021396072298,0.804022108002675
"130","sipu","a1","hclust_median",0.694299482791307,0.667845901788496
"131","sipu","a1","hclust_centroid",0.876687764871385,0.865927332072551
"132","sipu","a1","genie",0.904641769052557,0.89883586421565
"133","sipu","a1","spectral",0.585853576773516,0.497180872543491
"134","sipu","a2","hclust_complete",0.911033777932305,0.908415480526077
"135","sipu","a2","hclust_average",0.935610666286434,0.9337253051435
"136","sipu","a2","hclust_mcquitty",0.861384109113768,0.856877771148774
