,benchmark,dataset,algorithm,n_clusters,FM,AM,AR
0,graves,fuzzyx,linkage_single,2.0,0.4480992137445702,-4.767547644033444e-05,-7.503462029904802e-05
0,graves,fuzzyx,linkage_average,2.0,0.47454400794104223,0.1802912440099837,0.10138467820542724
0,graves,fuzzyx,linkage_weighted,2.0,0.5962830088247815,0.36646023315213316,0.3462216818112007
0,graves,fuzzyx,linkage_centroid,2.0,0.45463526500045304,0.14868682311877063,0.07048982319568109
0,graves,fuzzyx,linkage_median,2.0,0.43245323377600864,0.08003446798032869,0.01976619934309894
0,graves,fuzzyx,linkage_ward,2.0,0.567760001997448,0.3216061461921829,0.3061815592943943
0,graves,fuzzyx,genie,2.0,0.567760001997448,0.3216061461921829,0.3061815592943943
0,graves,fuzzyx,linkage_single,3.0,0.44765859215366516,-4.498866017107168e-05,-6.58316727558166e-05
0,graves,fuzzyx,linkage_average,3.0,0.5402363161532407,0.3968844586513962,0.2772080109195526
0,graves,fuzzyx,linkage_weighted,3.0,0.6195530022862544,0.4882097253035955,0.43891422233378324
0,graves,fuzzyx,linkage_centroid,3.0,0.5342137182943846,0.3912668935924042,0.2644580520097487
0,graves,fuzzyx,linkage_median,3.0,0.43245323377600864,0.08003446798032869,0.01976619934309894
0,graves,fuzzyx,linkage_ward,3.0,0.611689074061696,0.4850428262738286,0.3964882852215954
0,graves,fuzzyx,genie,3.0,0.611689074061696,0.4850428262738286,0.3964882852215954
0,graves,fuzzyx,linkage_single,4.0,0.4471454691836635,-9.11626503066753e-05,-0.00013818158696655693
0,graves,fuzzyx,linkage_average,4.0,0.6621784306323408,0.6228257309893321,0.5285545401359604
0,graves,fuzzyx,linkage_weighted,4.0,0.6986556460966876,0.6640642210049702,0.5825638717670315
0,graves,fuzzyx,linkage_centroid,4.0,0.6178435830361972,0.5807404726475709,0.4598756856395455
0,graves,fuzzyx,linkage_median,4.0,0.5455183757905804,0.4893972921657571,0.3349319233827094
0,graves,fuzzyx,linkage_ward,4.0,0.6618657714201955,0.6202413037108147,0.5325078352082638
0,graves,fuzzyx,genie,4.0,0.6618657714201955,0.6202413037108147,0.5325078352082638
0,graves,fuzzyx,linkage_single,5.0,0.44670748487134515,-8.662377603138707e-05,-0.00012603239355720328
0,graves,fuzzyx,linkage_average,5.0,0.7954794427456862,0.7963659537329003,0.7426002274320629
0,graves,fuzzyx,linkage_weighted,5.0,0.7010860013431485,0.7230265529758307,0.6149083738511012
0,graves,fuzzyx,linkage_centroid,5.0,0.7422468326408614,0.7571761553191734,0.6734117262770826
0,graves,fuzzyx,linkage_median,5.0,0.5439800702676377,0.5112963560311322,0.38216224698924584
0,graves,fuzzyx,linkage_ward,5.0,0.71286872883128,0.729537458170672,0.6369859694549721
0,graves,fuzzyx,genie,5.0,0.71286872883128,0.729537458170672,0.6369859694549721
0,graves,ring,linkage_single,2.0,1.0,1.0,1.0
0,graves,ring,linkage_average,2.0,0.6466934528151368,0.19338245217829703,0.1137456429403359
0,graves,ring,linkage_weighted,2.0,0.6511095270733998,0.2359001617411809,0.15946151688769583
0,graves,ring,linkage_centroid,2.0,0.6531879138724266,0.11681558630839813,0.04628812497620706
0,graves,ring,linkage_median,2.0,0.7067527852789117,0.0,0.0
0,graves,ring,linkage_ward,2.0,0.6468143447759782,0.19604569307767866,0.11646250093160991
0,graves,ring,genie,2.0,0.6468143447759782,0.19604569307767866,0.11646250093160991
0,graves,ring,linkage_single,3.0,0.8790047204635447,0.6817516860635461,0.7728250009032114
0,graves,ring,linkage_average,3.0,0.6400886216268196,0.31697573869059925,0.23323710779782714
0,graves,ring,linkage_weighted,3.0,0.6839796018574695,0.3913411911410361,0.38149896595262417
0,graves,ring,linkage_centroid,3.0,0.6405190724416532,0.31790155616340426,0.23502497830689711
0,graves,ring,linkage_median,3.0,0.6473797235573935,0.15590227621668765,0.07795549886712155
0,graves,ring,linkage_ward,3.0,0.6465922147003096,0.3321371584820939,0.2642871766062458
