,benchmark,dataset,algorithm,n_clusters,FM,AM,AR
0,fcps,engytime,linkage_single,2.0,0.7066753820607086,0.00048585809399783614,4.769538293204317e-07
0,fcps,engytime,linkage_average,2.0,0.6500239102249518,0.14854796741944357,0.05101382634274292
0,fcps,engytime,linkage_weighted,2.0,0.6589314026347668,0.13036121487616642,0.031860269191981025
0,fcps,engytime,linkage_centroid,2.0,0.6601733911767074,0.1140741772820893,0.027164015934996497
0,fcps,engytime,linkage_median,2.0,0.6923466272767101,0.03845698171812787,0.001910239274258272
0,fcps,engytime,linkage_ward,2.0,0.8602399807978651,0.6469161701126438,0.7184533725930805
0,fcps,engytime,genie,2.0,0.9064753618901974,0.7404250124357231,0.8124172785435686
0,fcps,engytime,kmeans,2.0,0.9076346454086384,0.7295548463219649,0.815060637690859
0,fcps,engytime,dbscan,2.0,0.7028882696894739,-0.00011670853010585912,-1.875220827430968e-06
0,fcps,engytime,meanshift,2.0,0.7070204380906537,-2.5627412030519373e-15,0.0
0,fcps,engytime,linkage_single,3.0,0.7066752555017525,1.7115247830123108e-07,2.384769146741004e-07
0,fcps,engytime,linkage_average,3.0,0.8285548028023538,0.624903573533603,0.6806642969086152
0,fcps,engytime,linkage_weighted,3.0,0.6903454162209033,0.373957443473118,0.42300785053537443
0,fcps,engytime,linkage_centroid,3.0,0.7762179528115707,0.45701617580534426,0.5500090769006136
0,fcps,engytime,linkage_median,3.0,0.5055659048019722,0.03895986349576006,0.02780004547795348
0,fcps,engytime,linkage_ward,3.0,0.7416579880776025,0.541206412259722,0.5388076496282358
0,fcps,engytime,genie,3.0,0.9064753618901974,0.7404250124357231,0.8124172785435686
0,fcps,engytime,kmeans,3.0,0.7550016583066551,0.546725495574339,0.5633544981176574
0,fcps,engytime,dbscan,3.0,0.7028882696894739,-0.00011670853010585912,-1.875220827430968e-06
0,fcps,engytime,meanshift,3.0,0.7070204380906537,-2.5627412030519373e-15,0.0
0,fcps,engytime,linkage_single,4.0,0.7065027908487298,5.121602489294508e-07,7.154309145110971e-07
0,fcps,engytime,linkage_average,4.0,0.8232043053892532,0.614916792947912,0.6718251853678368
0,fcps,engytime,linkage_weighted,4.0,0.6515719680880633,0.3517628342361137,0.3913616960405463
0,fcps,engytime,linkage_centroid,4.0,0.8049712482418248,0.6114137616424068,0.6425661328886366
0,fcps,engytime,linkage_median,4.0,0.48446422737857886,0.12899643224527851,0.10615373668385361
0,fcps,engytime,linkage_ward,4.0,0.7060552407467634,0.485035700551205,0.4940466083095492
0,fcps,engytime,genie,4.0,0.9064753618901974,0.7404250124357231,0.8124172785435686
0,fcps,engytime,kmeans,4.0,0.7110530684947111,0.4888680599487527,0.5010709888435926
0,fcps,engytime,dbscan,4.0,0.7028882696894739,-0.00011670853010585912,-1.875220827430968e-06
0,fcps,engytime,meanshift,4.0,0.7070204380906537,-2.5627412030519373e-15,0.0
0,fcps,engytime,linkage_single,5.0,0.706329904263763,2.4944426379756274e-10,3.493315636356034e-10
0,fcps,engytime,linkage_average,5.0,0.8178769799926282,0.605266597046976,0.6630814354755462
0,fcps,engytime,linkage_weighted,5.0,0.5475100775428903,0.32585668158398956,0.2723335952456057
0,fcps,engytime,linkage_centroid,5.0,0.8049712482418248,0.6114137616424068,0.6425661328886366
0,fcps,engytime,linkage_median,5.0,0.5157015758953988,0.17876235887706418,0.17151905454086333
0,fcps,engytime,linkage_ward,5.0,0.6127251070909239,0.439957402336899,0.3715968929114275
0,fcps,engytime,genie,5.0,0.9064753618901974,0.7404250124357231,0.8124172785435686
0,fcps,engytime,kmeans,5.0,0.596131534754604,0.4640830027874067,0.351811504785574
