,benchmark,dataset,algorithm,n_clusters,FM,AM,AR
0,fcps,engytime,spectral,2.0,0.5191711326092108,0.024764559130141583,0.033652622757901936
0,fcps,twodiamonds,spectral,2.0,0.5045782770583397,0.007457298388450804,0.010317792465971034
0,fcps,chainlink,spectral,2.0,0.5089593595673404,0.013483384227609824,0.018618201679274388
0,fcps,target,spectral,2.0,0.5005364527818188,0.009163627682674487,-6.532703206215768e-05
0,fcps,target,spectral,6.0,0.5254234595333372,0.4080954899069076,0.2623010052581412
0,fcps,hepta,spectral,2.0,0.5181233934473674,0.4984723697698046,0.2653371940073136
0,fcps,hepta,spectral,7.0,0.6421236473878077,0.7312807437419915,0.5719777062973495
0,fcps,atom,spectral,2.0,0.7060414284419205,0.4223006666263949,0.36233427183015243
0,fcps,lsun,spectral,2.0,0.5559045730717054,0.31991892822535817,0.21476997537602058
0,fcps,lsun,spectral,3.0,0.6283185015275058,0.557899330695589,0.4072465788415562
0,fcps,tetra,spectral,2.0,0.5850410517389704,0.42669190669450596,0.31659358728418746
0,fcps,tetra,spectral,4.0,0.7000891594346087,0.7328178007813544,0.5602762054116825
0,fcps,wingnut,spectral,2.0,0.7298759463081896,0.4247503188576857,0.43436602032236843
0,sipu,s3,spectral,2.0,0.2446827035784979,0.128693313512846,0.04515854207175982
0,sipu,s3,spectral,15.0,0.29475371978258935,0.48048382209182305,0.24204420733162724
0,sipu,flame,spectral,2.0,0.9272494455511855,0.7762578439327235,0.8381606738298258
0,sipu,s4,spectral,2.0,0.24412613182548593,0.12124240421732554,0.045004534867601996
0,sipu,s4,spectral,15.0,0.2883474553714311,0.4290317359260055,0.23553563525404334
0,sipu,s2,spectral,2.0,0.30866078152084003,0.2635650711575162,0.09200431569082908
0,sipu,s2,spectral,15.0,0.5142098856770035,0.6803026611939101,0.47746120978142337
0,sipu,compound,spectral,2.0,0.44111385982987183,0.23195954809239988,0.05737393784583119
0,sipu,compound,spectral,6.0,0.4558443871948641,0.5348211367404446,0.2593306040291216
0,sipu,jain,spectral,2.0,0.7592825506867995,0.46211161485677604,0.44874575320940313
